API,API_Label,Operator,BH_Status,MD,TVD,Deviation,Field_Code,lat_bhl,long_bhl,API_County,API_Seq,Operat_Num,Citing_Typ,Spud_Date,Ground_Ele,Max_MD,Max_TVD,Facil_Id,Facil_Type,Facil_Stat,Well_Class,Stat_Date,Loc_Qual,Loc_ID,Loc_Name,Dist_N_S,Dir_N_S,Dist_E_W,Dir_E_W,Qtr_Qtr,Section,Township,Range,Meridian,lat_shl,long_shl,twprge,lat_midpoint,long_midpoint,interval_top,interval_bottom,well_td,lateral_length_ft,calced_lat_by_td,Comment
1233323800,05-123-33238,NOBLE ENERGY INC,Actual,10320,6001,Horizontal,16950,40.72716,-103.95729,123,33238,100322,ACTUAL,8/14/2012,4816,10320,6006,422377,WELL,PR,OW,4/1/2023,ACTUAL LatLong,422413,Igo Creek 21-27H,501,S,501,E,SESE,27,9N,59W,6,40.71556,-103.95608,9n59w,40.72136,-103.956685,6594,10238,10320,3644,FALSE,
1233326700,05-123-33267,NOBLE ENERGY INC,Actual,10442,6097,Horizontal,16950,40.72679,-103.99526,123,33267,100322,ACTUAL,9/29/2012,4863,10442,6097,422459,WELL,SI,OW,9/1/2022,ACTUAL LatLong,422428,RICO LC29-72-1HNA,351,S,501,E,SESE,29,9N,59W,6,40.71499,-103.99421,9n59w,40.72089,-103.994735,6586,9584,10442,2998,FALSE,
1233331100,05-123-33311,NOBLE ENERGY INC,Actual,10616,6204,Horizontal,16950,40.73038,-104.00125,123,33311,100322,Actual,9/6/2012,4978,10616,6204,422563,WELL,SI,OW,7/1/2022,ACTUAL LatLong,422561,Igo Creek 14-20H,501,N,2445,E,NWNE,20,9N,59W,6,40.74177,-104.00141,9n59w,40.736075,-104.00133,6807,11533,10616,4726,FALSE,
1233333000,05-123-33330,NOBLE ENERGY INC,Actual,10354,5974,Horizontal,16950,40.7272,-103.94535,123,33330,100322,Actual,10/24/2012,4823,10354,5974,422626,WELL,PR,OW,3/1/2024,ACTUAL LatLong,422629,Igo Creek 20-26H,380,S,2580,W,SESW,26,9N,59W,6,40.71538,-103.94496,9n59w,40.72129,-103.945155,6539,10226,10354,3687,FALSE,
1233336800,05-123-33368,VERDAD RESOURCES LLC,Actual,10890,6448,Horizontal,99999,40.754915,-104.114701,123,33368,10651,ACTUAL,6/10/2011,5008,10890,6448,422743,WELL,SI,OW,2/1/2023,ACTUAL LatLong,422744,Nelson 17-44-9-60,279,S,248,E,SESE,17,9N,60W,6,40.74302,-104.10813,9n60w,40.7489675,-104.1114155,8673,10787,10890,2114,FALSE,
1233341300,05-123-33413,NOBLE ENERGY INC,Actual,9981,5654,Horizontal,16950,40.76034,-103.87646,123,33413,100322,ACTUAL,9/18/2012,4713,9981,5654,422856,WELL,PR,OW,5/1/2024,ACTUAL LatLong,422853,ROHN STATE LD10-63HN,501,S,501,E,SESE,9,9N,58W,6,40.75997,-103.86167,9n58w,40.760155,-103.869065,6215,9900,9981,3685,FALSE,
1233343600,05-123-33436,NOBLE ENERGY INC,Actual,10235,5952,Horizontal,16950,40.682,-103.95532,123,33436,100322,Actual,10/13/2012,4766,10235,5953,422895,WELL,TA,OW,5/1/2024,ACTUAL LatLong,422866,Horse Ditch 05-10H,501,S,501,E,SESE,10,8N,59W,6,40.6709,-103.95465,8n59w,40.67645,-103.954985,6511,10136,10235,3625,FALSE,
1233345100,05-123-33451,NOBLE ENERGY INC,Actual,10317,6029,Horizontal,16950,40.71252,-103.95663,123,33451,100322,ACTUAL,11/6/2012,4832,10317,6029,422934,WELL,PR,OW,5/1/2024,ACTUAL LatLong,422926,Igo Creek 26-34H,401,N,501,W,NWNW,34,9N,59W,6,40.71305,-103.97145,9n59w,40.712785,-103.96404,6554,10228,10317,3674,FALSE,
1233347500,05-123-33475,NOBLE ENERGY INC,Actual,10590,6276,Horizontal,16950,40.73047,-104.01839,123,33475,100322,ACTUAL,1/2/2013,5005,10590,6276,422985,WELL,PR,OW,3/1/2024,ACTUAL LatLong,422956,Igo Creek 13-19H,270,N,2317,E,NWNE,19,9N,59W,6,40.742466,-104.01986,9n59w,40.736468,-104.019125,6774,10507,10590,3733,FALSE,
1233349300,05-123-33493,NOBLE ENERGY INC,Actual,9850,5522,Horizontal,16950,40.75736,-103.8241,123,33493,100322,Actual,7/1/2012,4672,9850,5522,423026,WELL,TA,OW,1/1/2023,ACTUAL LatLong,423037,COPPERHEAD LD14-04,501,N,501,W,NWNW,14,9N,58W,6,40.75734,-103.839,9n58w,40.75735,-103.83155,6151,9766,9850,3615,FALSE,
1233356300,05-123-33563,NOBLE ENERGY INC,Actual,10048,5786,Horizontal,16950,40.72762,-103.86197,123,33563,100322,ACTUAL,11/18/2012,4820,10048,5786,423348,WELL,SI,OW,9/1/2022,ACTUAL LatLong,423362,BRINGELSON LD28-72HN,273,S,312,E,SESE,28,9N,58W,6,40.715622,-103.860447,9n58w,40.721621,-103.8612085,6328,9964,10048,3636,FALSE,
1233356400,05-123-33564,NOBLE ENERGY INC,Actual,9913,5620,Horizontal,16950,40.7459,-103.85093,123,33564,100322,ACTUAL,12/1/2011,4705,9913,5620,423352,WELL,PA,OW,7/31/2020,ACTUAL LatLong,423364,Castor Federal LD 15-75HN Pad,501,N,2434,E,NWNE,15,9N,58W,6,40.75728,-103.84958,9n58w,40.75159,-103.850255,6213,9828,9913,3615,FALSE,
1233368100,05-123-33681,VERDAD RESOURCES LLC,Actual,10743,6462,Horizontal,16950,40.77001,-104.08617,123,33681,10651,ACTUAL,4/30/2012,5090,10743,6462,423698,WELL,SI,OW,8/1/2019,ACTUAL LatLong,423699,Dietzler 10-9-60 PAD,273,S,262,W,SWSW,10,9N,60W,6,40.75802,-104.08725,9n60w,40.764015,-104.08671,6776,10743,10743,3967,FALSE,
1233368800,05-123-33688,VERDAD RESOURCES LLC,Actual,9345,5812,Horizontal,16950,40.70402,-103.87129,123,33688,10651,ACTUAL,5/26/2012,4772,9345,5812,423720,WELL,PR,OW,6/24/2012,ACTUAL LatLong,423723,Bringelson 33-21-9-58,240,N,2354,W,NENW,33,9N,58W,6,40.71416,-103.86994,9n58w,40.70909,-103.870615,6218,9236,9345,3018,FALSE,
1233368900,05-123-33689,VERDAD RESOURCES LLC,Actual,10240,5896,Horizontal,16950,40.74236,-103.88098,123,33689,10651,ACTUAL,11/9/2012,4845,10240,5896,423721,WELL,SI,OW,11/1/2023,ACTUAL LatLong,423722,Bringelson Ranch 20-11-9-58,1268,N,275,W,NWNW,20,9N,58W,6,40.74033,-103.89666,9n58w,40.741345,-103.88882,6295,10240,10240,3945,FALSE,
1233380000,05-123-33800,NOBLE ENERGY INC,Actual,10097,6069,Horizontal,16950,40.66802,-103.97449,123,33800,100322,ACTUAL,3/26/2012,4848,10097,6069,423928,WELL,PA,OW,3/22/2019,ACTUAL LatLong,423929,MONTANA STATE PC LG 16-68HN,830,N,280,W,NWNW,16,8N,59W,6,40.66741,-103.99001,8n59w,40.667715,-103.98225,6523,9974,10097,3451,FALSE,
1233380100,05-123-33801,VERDAD RESOURCES LLC,Actual,10631,6267,Horizontal,16950,40.74492,-104.00881,123,33801,10651,ACTUAL,6/16/2013,5021,10631,6267,423930,WELL,SI,OW,2/1/2024,ACTUAL LatLong,423945,Timbro Ranch 17-11-9-59,251,N,466,W,NWNW,17,9N,59W,6,40.75704,-104.00997,9n59w,40.75098,-104.00939,6411,10631,10631,4220,FALSE,
1233382200,05-123-33822,VERDAD RESOURCES LLC,Actual,10615,6327,Horizontal,16950,40.60988,-104.09059,123,33822,10651,ACTUAL,6/18/2012,4920,10615,6327,423982,WELL,PR,OW,12/1/2023,ACTUAL LatLong,423984,Pergamos 4-44-7-60,108,S,1339,E,SESE,4,7N,60W,6,40.59728,-104.09302,7n60w,40.60358,-104.091805,6746,10466,10615,3720,FALSE,
1233394500,05-123-33945,NOBLE ENERGY INC,Actual,10459,6091,Horizontal,16950,40.71264,-103.97562,123,33945,100322,ACTUAL,5/4/2012,4855,10459,6091,424214,WELL,PR,OW,5/1/2022,ACTUAL LatLong,424217,Ptasnik 33-11-9-59,245,N,245,W,NWNW,33,9N,59W,6,40.71338,-103.99152,9n59w,40.71301,-103.98357,6604,10359,10459,3755,FALSE,
1233395500,05-123-33955,VERDAD RESOURCES LLC,Actual,10553,6293,Horizontal,16950,40.6097,-104.07297,123,33955,10651,ACTUAL,12/6/2011,4936,10553,6373,424237,WELL,SI,OW,2/1/2024,ACTUAL LatLong,424238,Pergamos 3-44-7-60,297,S,297,E,SESE,3,7N,60W,6,40.597797,-104.070202,7n60w,40.6037485,-104.071586,6580,10547,10553,3967,FALSE,
1233395600,05-123-33956,VERDAD RESOURCES LLC,Actual,9841,6316,Horizontal,16950,40.58679,-104.09056,123,33956,10651,ACTUAL,6/6/2012,4910,10750,6317,424239,WELL,PR,OW,12/1/2023,ACTUAL LatLong,423984,Pergamos 4-44-7-60,65,S,1339,E,SESE,4,7N,60W,6,40.59731,-104.09303,7n60w,40.59205,-104.091795,6735,10750,10750,4015,FALSE,
1233395900,05-123-33959,VERDAD RESOURCES LLC,Actual,10469,6186,Horizontal,16950,40.72665,-104.01359,123,33959,10651,ACTUAL,11/8/2012,4906,10469,6186,424272,WELL,SI,OW,12/1/2023,ACTUAL LatLong,424271,Asher 3030,250,S,279,E,SESE,30,9N,59W,6,40.71464,-104.01237,9n59w,40.720645,-104.01298,6534,10469,10469,3935,FALSE,
1233396000,05-123-33960,VERDAD RESOURCES LLC,Actual,10183,5785,Horizontal,16950,40.7129,-103.88558,123,33960,10651,ACTUAL,2/20/2013,4785,10183,4399,424274,WELL,PR,OW,3/1/2024,ACTUAL LatLong,424273,BRINGELSON 1-32-9-58 PAD,250,S,1325,E,SWSE,32,9N,58W,6,40.70083,-103.88302,9n58w,40.706865,-103.8843,6187,10183,10183,3996,FALSE,
1233410001,05-123-34100,VERDAD RESOURCES LLC,Actual,10845,6516,Horizontal,16950,40.56607,-104.1421,123,34100,10651,ACTUAL,2/27/2012,5021,10845,6516,424601,WELL,PR,OW,9/1/2023,ACTUAL LatLong,424596,Slick Rock 19-14-7-60,17,S,1243,W,LOT 4,19,7N,60W,6,40.55341,-104.14245,7n60w,40.55974,-104.142275,6976,10845,10845,3869,FALSE,
1233415200,05-123-34152,NOBLE ENERGY INC,Actual,10079,5766,Horizontal,16950,40.74224,-103.8525,123,34152,100322,Actual,7/13/2012,4823,10079,5766,424726,WELL,PR,OW,2/1/2023,ACTUAL LatLong,424725,Fiscus Mesa 20-22H,501,S,2346,W,SESW,22,9N,58W,6,40.73087,-103.85101,9n58w,40.736555,-103.851755,6367,9958,10079,3591,FALSE,
1233435100,05-123-34351,NOBLE ENERGY INC,Actual,10407,6014,Horizontal,16950,40.69761,-103.96926,123,34351,100322,ACTUAL,11/28/2011,4802,10407,6014,425353,WELL,TA,OW,5/1/2024,ACTUAL LatLong,425346,McClellan PC LG03-78HN,250,S,700,W,SWSW,3,8N,59W,6,40.68476,-103.96932,8n59w,40.691185,-103.96929,6477,10324,10407,3847,FALSE,
1233438400,05-123-34384,NOBLE ENERGY INC,Actual,10560,6247,Horizontal,16950,40.68999,-104.06932,123,34384,100322,ACTUAL,9/6/2013,4912,10560,6247,425431,WELL,SI,OW,12/1/2022,ACTUAL LatLong,425138,BADGER FEDERAL LF 04-64HN,2030,S,260,E,NESE,4,8N,60W,6,40.689768,-104.086964,8n60w,40.689879,-104.078142,6772,10441,10560,3669,FALSE,
1233438701,05-123-34387,VERDAD RESOURCES LLC,Actual,10162,6382,Horizontal,16950,40.5656,-104.12515,123,34387,10651,ACTUAL,11/15/2011,4974,10162,6383,425437,WELL,SI,OW,5/1/2023,ACTUAL LatLong,425439,Barracuda 20-14-7-60,400,S,600,W,SWSW,20,7N,60W,6,40.55452,-104.12547,7n60w,40.56006,-104.12531,6341,10162,10162,3821,TRUE,
1233440400,05-123-34404,VERDAD RESOURCES LLC,Actual,10618,6221,Horizontal,16950,40.63899,-104.03271,123,34404,10651,ACTUAL,8/12/2012,4934,10618,6221,425473,WELL,PR,OW,2/1/2024,ACTUAL LatLong,425475,Hemberger 25-34-8-60,313,S,1637,E,SESE,25,8N,60W,6,40.62704,-104.03619,8n60w,40.633015,-104.03445,6966,10618,10618,3652,FALSE,
1233441800,05-123-34418,NOBLE ENERGY INC,Actual,10357,6097,Horizontal,16950,40.65697,-103.99358,123,34418,100322,ACTUAL,12/21/2012,4845,10357,6097,425512,WELL,TA,OW,2/1/2022,ACTUAL LatLong,425523,CASTOR FEDERAL LG 17-62HN,660,S,250,W,SWSW,17,8N,59W,6,40.65688,-104.00943,8n59w,40.656925,-104.001505,6616,10277,10357,3661,FALSE,
1233442000,05-123-34420,FUNDARE RESOURCES OPERATING COMPANY LLC,Actual,12406,5715,Horizontal,16950,40.85164,-103.79228,123,34420,10773,ACTUAL,11/7/2011,4802,12406,5715,425518,WELL,PR,OW,1/1/2024,ACTUAL LatLong,425520,Horsetail 18-0733H,330,S,1952,E,SWSE,18,10N,57W,6,40.83251,-103.79194,10n57w,40.842075,-103.79211,6156,12308,12406,6152,FALSE,
1233443000,05-123-34430,VERDAD RESOURCES LLC,Actual,10240,6233,Horizontal,16950,40.63799,-104.05588,123,34430,10651,ACTUAL,7/25/2012,4900,10240,6233,425545,WELL,PR,OW,2/1/2024,ACTUAL LatLong,425541,HEMBERGER 26-34-8-60,268,S,1580,E,SWSE,26,8N,60W,6,40.62681,-104.05498,8n60w,40.6324,-104.05543,6632,10240,10240,3608,FALSE,
1233443801,05-123-34438,VERDAD RESOURCES LLC,Actual,9780,5979,Horizontal,16950,40.77566,-103.91991,123,34438,10651,Actual,2/2/2012,4983,9780,6924,425604,WELL,PA,OW,10/16/2023,ACTUAL LatLong,425596,Timbro Ranch 1-41-9-59,261,N,423,E,LOT1,1,9N,59W,6,40.78679,-103.91885,9n59w,40.781225,-103.91938,6236,9780,9780,3544,FALSE,
1233468501,05-123-34685,FUNDARE RESOURCES OPERATING COMPANY LLC,Actual,10290,6277,Horizontal,99999,40.774299,-103.990314,123,34685,10773,Actual,7/28/2012,5107,10290,6355,426428,WELL,PR,OW,1/1/2022,ACTUAL LatLong,426426,Wildhorse 04-0414H,320,N,660,W,LOT4,4,9N,59W,6,40.78596,-103.99019,9n59w,40.7801295,-103.990252,6746,10290,10290,3544,FALSE,
1233474900,05-123-34749,FUNDARE RESOURCES OPERATING COMPANY LLC,Actual,10864,6215,Horizontal,16950,40.75207,-103.97602,123,34749,10773,ACTUAL,1/4/2012,5069,10864,6215,426639,WELL,PR,OW,3/31/2012,ACTUAL LatLong,426631,Wildhorse 16-42H,330,S,660,W,SWSW,16,9N,59W,6,40.744103,-103.990206,9n59w,40.7480865,-103.983113,6791,10758,10864,3967,FALSE,
1233482400,05-123-34824,NOBLE ENERGY INC,Actual,10305,6357,Horizontal,16950,40.65682,-104.10313,123,34824,100322,ACTUAL,1/3/2012,4919,10305,6357,427010,WELL,TA,OW,7/1/2022,ACTUAL LatLong,427008,State 8-60 16-2H,280,N,660,W,NWNW,16,8N,60W,6,40.668807,-104.10322,8n60w,40.6628135,-104.103175,6465,10150,10305,3685,FALSE,
1233482500,05-123-34825,RED HAWK PETROLEUM LLC,Actual,15680,6194,Horizontal,16950,40.58433,-104.05291,123,34825,10503,ACTUAL,2/13/2012,4930,15680,6192,427019,WELL,PR,OW,1/1/2024,ACTUAL LatLong,427041,Buchner 1-2H,250,N,660,E,Lot 1,2,7N,60W,6,40.61089,-104.052294,7n60w,40.59761,-104.052602,6088,15680,15680,9592,FALSE,
1233488000,05-123-34880,RED HAWK PETROLEUM LLC,Actual,10192,6233,Horizontal,16950,40.60977,-104.04292,123,34880,10503,ACTUAL,3/17/2012,4929,10192,6232,427152,WELL,PR,OW,3/1/2024,ACTUAL LatLong,427144,Green 1-1H,390,S,1982,W,SESW,1,7N,60W,6,40.598255,-104.042868,7n60w,40.6040125,-104.042894,6088,10192,10192,4104,FALSE,
1233488800,05-123-34888,FUNDARE RESOURCES OPERATING COMPANY LLC,Actual,10224,6147,Horizontal,16950,40.77454,-103.94775,123,34888,10773,ACTUAL,6/14/2012,4994,10224,6147,427180,WELL,PR,OW,1/1/2024,ACTUAL LatLong,427181,Wildhorse 02-0224H,320,N,1945,W,NENW,2,9N,59W,6,40.786375,-103.947956,9n59w,40.7804575,-103.947853,6424,10224,10224,3800,FALSE,
1233489600,05-123-34896,FUNDARE RESOURCES OPERATING COMPANY LLC,Actual,10310,6290,Horizontal,16950,40.77433,-103.98574,123,34896,10773,ACTUAL,5/2/2013,5096,10310,6290,427196,WELL,PR,OW,9/1/2019,Actual LatLong,427197,Wildhorse 04-0424H,320,N,1954,W,LOT3,4,9N,59W,6,40.786005,-103.985517,9n59w,40.7801675,-103.9856285,6652,10310,10310,3658,FALSE,
1233497800,05-123-34978,FUNDARE RESOURCES OPERATING COMPANY LLC,Actual,10339,6420,Horizontal,16950,40.77452,-104.02804,123,34978,10773,ACTUAL,5/11/2013,5161,10339,6420,427403,WELL,PR,OW,3/1/2020,Actual LatLong,427394,Wildhorse 06-0614H,170,N,660,W,LOT4,6,9N,59W,6,40.785987,-104.028463,9n59w,40.7802535,-104.0282515,6763,10339,10339,3576,FALSE,
1233498000,05-123-34980,FUNDARE RESOURCES OPERATING COMPANY LLC,Actual,10326,6419,Horizontal,16950,40.77429,-104.01875,123,34980,10773,ACTUAL,7/17/2012,5187,10326,6419,427417,WELL,PR,OW,11/1/2016,ACTUAL LatLong,427410,Wildhorse 06-0634H,320,N,2025,E,LOT2,6,9N,59W,6,40.785664,-104.018711,9n59w,40.779977,-104.0187305,6901,10326,10326,3425,FALSE,
1233500500,05-123-35005,VERDAD RESOURCES LLC,Actual,9700,6010,Horizontal,16950,40.70248,-103.93291,123,35005,10651,ACTUAL,8/29/2012,4911,9700,6010,427481,WELL,PR,OW,3/1/2023,ACTUAL LatLong,427480,Castor 36-11-9-59,850,N,1270,W,NWNW,36,9N,59W,6,40.71207,-103.93086,9n59w,40.707275,-103.931885,6321,9543,9700,3222,FALSE,
1233501100,05-123-35011,FUNDARE RESOURCES OPERATING COMPANY LLC,Actual,10400,6409,Horizontal,16950,40.77416,-104.00935,123,35011,10773,ACTUAL,10/31/2012,5140,10400,6409,427524,WELL,PR,OW,5/1/2021,ACTUAL LatLong,427525,Wildhorse 05-0514H,320,N,780,W,LOT4,5,9N,59W,6,40.785783,-104.008578,9n59w,40.7799715,-104.008964,6800,9898,10400,3098,FALSE,
1233510200,05-123-35102,NOBLE ENERGY INC,Actual,9823,5592,Horizontal,16950,40.80093,-103.80548,123,35102,100322,ACTUAL,4/21/2012,4694,9823,5592,427729,WELL,SI,OW,3/1/2022,ACTUAL LatLong,427737,CASTOR PC LA 36-68HN,520,N,200,W,NWNW,36,10N,58W,6,40.80097,-103.82166,10n58w,40.80095,-103.81357,6204,9739,9823,3535,FALSE,
1233527701,05-123-35277,RED HAWK PETROLEUM LLC,Actual,10513,6341,Directional,16950,40.60014,-104.10985,123,35277,10503,ACTUAL,3/4/2013,4921,10513,6757,428206,WELL,PR,OW,9/1/2017,Actual LatLong,428225,Leggett 1-5H,1970,S,250,W,NWSW,5,7N,60W,6,40.602362,-104.125416,7n60w,40.601251,-104.117633,6380,10149,10513,3769,FALSE,
1233528600,05-123-35286,NOBLE ENERGY INC,Actual,9994,5688,Horizontal,16950,40.74568,-103.87624,123,35286,100322,Actual,6/4/2012,4702,9994,5688,428244,WELL,SI,OW,4/1/2023,ACTUAL LatLong,428243,IGO CREEK PC LD16-62HN,1074,S,234,E,SESE,16,9N,58W,6,40.74698,-103.86046,9n58w,40.74633,-103.86835,6135,9894,9994,3759,FALSE,
1233528700,05-123-35287,NOBLE ENERGY INC,Actual,9973,5713,Horizontal,16950,40.74719,-103.87628,123,35287,100322,Actual,5/25/2012,4702,9973,5713,428245,WELL,SI,OW,4/1/2023,ACTUAL LatLong,428243,IGO CREEK PC LD16-62HN,1111,S,234,E,SESE,16,9N,58W,6,40.74709,-103.86046,9n58w,40.74714,-103.86837,6178,9887,9973,3709,FALSE,
1233528800,05-123-35288,NOBLE ENERGY INC,Actual,10059,5675,Horizontal,16950,40.74901,-103.87637,123,35288,100322,Actual,5/16/2012,4703,10059,5676,428246,WELL,SI,OW,4/1/2023,ACTUAL LatLong,428243,IGO CREEK PC LD16-62HN,1149,S,234,E,SESE,16,9N,58W,6,40.74715,-103.86046,9n58w,40.74808,-103.868415,6306,9962,10059,3656,FALSE,
1233535701,05-123-35357,RED HAWK PETROLEUM LLC,Actual,11249,6171,Horizontal,16950,40.53693,-104.01915,123,35357,10503,ACTUAL,4/24/2012,4924,11307,6174,428440,WELL,PR,OW,2/1/2021,ACTUAL LatLong,428441,Ford Family Trust 2H,280,S,415,W,SWSW,31,7N,59W,6,40.52517,-104.03085,7n59w,40.53105,-104.025,6614,11307,11307,4693,FALSE,
1233542400,05-123-35424,VERDAD RESOURCES LLC,Actual,11845,6333,Horizontal,16950,40.58488,-104.12415,123,35424,10651,ACTUAL,5/12/2012,4870,11845,6333,428594,WELL,SI,OW,12/1/2023,ACTUAL LatLong,428592,Pergamos 8-41-7-60,265,N,576,E,NENE,8,7N,60W,6,40.59624,-104.10952,7n60w,40.59056,-104.116835,6704,11733,11845,5029,FALSE,
1233550000,05-123-35500,FUNDARE RESOURCES OPERATING COMPANY LLC,Actual,10158,6119,Horizontal,16950,40.77451,-103.95233,123,35500,10773,ACTUAL,8/13/2012,5003,10158,6119,428752,WELL,PR,OW,1/1/2024,ACTUAL LatLong,428750,Wildhorse 02-0214H,360,N,740,W,LOT4,2,9N,59W,6,40.78621,-103.95229,9n59w,40.78036,-103.95231,6426,10158,10158,3732,FALSE,
1233568501,05-123-35685,VERDAD RESOURCES LLC,Actual,10665,6300,Horizontal,16950,40.59872,-104.08528,123,35685,10651,ACTUAL,1/5/2013,4922,10665,6312,429095,WELL,SI,OW,3/1/2024,ACTUAL LatLong,429096,Pergamos 3-11-7-60,254,N,1321,W,LOT4,3,7N,60W,6,40.6108,-104.08326,7n60w,40.60476,-104.08427,6650,10665,10665,4015,FALSE,
